time,f1,f2,f3
7/05/2022 18:00,1.061493411,2.281600781,
7/05/2022 19:00,0.963884822,2.208394339,
7/05/2022 20:00,1.073694485,2.269399707,
7/05/2022 21:00,1.12249878,2.183992191,
7/05/2022 22:00,0.994387506,2.232796486,
8/05/2022 0:00,,2.24499756,
8/05/2022 1:00,0.976085896,,
8/05/2022 2:00,0.976085896,,
8/05/2022 3:00,1.061493411,,
8/05/2022 4:00,1.061493411,,
8/05/2022 5:00,1.049292338,,
8/05/2022 6:00,0.963884822,,
8/05/2022 9:00,,2.220595412,
8/05/2022 10:00,,2.281600781,
8/05/2022 11:00,,2.293801855,
8/05/2022 12:00,1.073694485,,
8/05/2022 13:00,0.982186432,2.415812592,
8/05/2022 14:00,1.116398243,2.183992191,
8/05/2022 15:00,1.110297706,2.171791118,
8/05/2022 16:00,1.134699854,2.14738897,
8/05/2022 17:00,1.130632829,2.183992191,
8/05/2022 18:00,1.020823166,2.269399707,
8/05/2022 19:00,1.12249878,2.208394339,
8/05/2022 20:00,1.171303075,2.159590044,
8/05/2022 21:00,1.159102001,2.281600781,
8/05/2022 22:00,1.199772247,2.232796486,
9/05/2022 0:00,1.187571173,2.080283065,
9/05/2022 1:00,1.228241419,2.092484139,
9/05/2022 2:00,1.153001464,2.086383602,
9/05/2022 3:00,1.183504148,2.068081991,
9/05/2022 4:00,1.299414348,2.086383602,
9/05/2022 5:00,1.203839271,2.061981454,
9/05/2022 6:00,1.175370099,2.074182528,
9/05/2022 7:00,1.183504148,2.068081991,
9/05/2022 8:00,1.21197332,2.086383602,
9/05/2022 9:00,1.232308443,2.049780381,
9/05/2022 10:00,1.224174394,,
9/05/2022 11:00,1.165202538,,
9/05/2022 12:00,1.220107369,2.110785749,
9/05/2022 13:00,1.232308443,2.049780381,
9/05/2022 14:00,1.171303075,,
9/05/2022 15:00,1.214006833,,
9/05/2022 16:00,1.073694485,,
9/05/2022 17:00,1.073694485,2.220595412,
9/05/2022 18:00,1.159102001,2.269399707,
9/05/2022 19:00,1.153001464,2.318204002,
9/05/2022 20:00,1.153001464,2.257198633,
9/05/2022 21:00,1.134699854,,
9/05/2022 22:00,1.159102001,2.269399707,
10/05/2022 0:00,1.146900927,2.269399707,
10/05/2022 1:00,1.134699854,2.342606149,
10/05/2022 2:00,1.189604685,2.183992191,
10/05/2022 3:00,1.244509517,2.14738897,
10/05/2022 4:00,1.293313812,2.14738897,
10/05/2022 5:00,1.317715959,2.086383602,
10/05/2022 10:00,1.073694485,,
10/05/2022 11:00,1.073694485,,
10/05/2022 12:00,1.073694485,,
10/05/2022 13:00,1.165202538,2.122986823,
10/05/2022 14:00,1.201805759,2.110785749,
10/05/2022 15:00,1.262811127,2.098584675,
10/05/2022 18:00,1.244509517,2.220595412,
10/05/2022 19:00,1.268911664,2.183992191,
10/05/2022 20:00,1.256710591,2.293801855,
10/05/2022 21:00,1.305514885,2.281600781,
10/05/2022 22:00,1.232308443,2.318204002,
11/05/2022 0:00,1.232308443,2.306002928,
11/05/2022 3:00,1.268911664,2.330405076,
11/05/2022 4:00,1.281112738,2.354807223,
11/05/2022 5:00,1.268911664,2.269399707,
11/05/2022 6:00,1.317715959,2.232796486,
11/05/2022 7:00,1.256710591,2.367008297,
11/05/2022 9:00,1.183504148,,
11/05/2022 10:00,1.171303075,2.354807223,
11/05/2022 11:00,1.203839271,2.257198633,
11/05/2022 12:00,1.16723605,2.37920937,
11/05/2022 13:00,1.012689117,,
11/05/2022 14:00,1.085895559,,
11/05/2022 15:00,1.085895559,,
11/05/2022 16:00,1.073694485,,
11/05/2022 17:00,1.061493411,,
12/05/2022 2:00,1.220107369,2.208394339,
12/05/2022 3:00,1.214006833,2.14738897,
12/05/2022 4:00,1.207906296,2.171791118,
12/05/2022 5:00,1.14080039,2.110785749,
12/05/2022 6:00,1.153001464,2.098584675,
12/05/2022 7:00,1.165202538,2.122986823,
12/05/2022 8:00,1.195705222,2.074182528,
12/05/2022 9:00,1.116398243,2.116886286,
12/05/2022 10:00,1.104197169,2.196193265,
12/05/2022 11:00,1.165202538,2.275500244,
12/05/2022 12:00,1.14080039,,
12/05/2022 13:00,1.128599317,,
12/05/2022 14:00,1.073694485,,
